Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
66.047,21.363,13.933,12.771,10.268,18.199,22.636,26.386,37.696,24.396,60.795,43.575,12.386,10.292,5.682,9.274,8.154,7.601,14.529,23.357,8.188,4.775,12.654
62.372,20.806,15.471,15.529,9.804,16.503,25.471,23.200,36.532,19.979,58.818,35.900,11.000,8.486,4.773,10.645,8.327,7.189,12.673,21.095,8.781,5.549,11.618
59.872,19.653,13.933,14.071,9.866,17.583,23.800,21.871,34.975,19.979,60.636,35.737,11.023,9.611,5.000,9.565,6.808,5.041,12.154,22.738,9.302,5.745,10.074
62.802,18.298,14.519,13.929,11.723,17.305,21.543,23.686,34.734,20.990,46.909,35.425,13.386,11.306,5.636,9.202,9.173,6.236,12.231,21.119,7.406,6.069,9.522
57.988,19.258,16.019,15.971,10.366,16.755,22.264,20.986,35.823,17.917,49.386,33.287,11.273,11.583,5.705,9.097,7.567,6.270,12.029,20.774,8.385,6.324,10.713
53.605,14.540,11.010,16.757,11.054,15.768,21.536,22.500,31.759,19.417,39.227,33.725,15.659,10.611,4.818,7.750,7.298,5.392,11.452,18.488,6.979,6.500,8.750
57.256,18.169,13.635,14.757,10.232,15.318,23.400,18.871,29.861,19.500,45.205,31.663,11.273,8.681,3.455,8.790,9.192,6.101,12.779,16.857,7.938,5.382,8.074
57.640,17.702,14.856,15.200,10.714,15.338,21.707,17.229,33.253,20.615,39.636,31.150,10.909,9.972,4.932,7.621,9.048,4.439,10.625,17.345,7.750,5.873,7.074
56.605,19.460,15.221,13.643,10.357,16.868,20.293,19.700,31.734,20.198,46.727,32.950,13.318,11.764,5.182,9.403,8.875,5.500,10.519,17.464,8.521,7.461,7.684
63.430,20.113,14.548,13.314,10.214,14.854,20.514,18.271,31.962,18.635,42.705,30.325,12.955,9.500,4.045,9.137,8.288,5.270,8.904,15.405,7.844,5.529,7.676
62.244,18.944,16.202,13.729,10.161,15.483,19.086,17.829,29.329,19.802,43.568,27.038,11.159,9.806,4.182,8.452,8.462,5.074,8.183,15.107,6.438,6.275,6.559
60.465,19.056,15.077,14.800,11.348,15.073,19.907,15.700,33.241,18.729,38.886,29.175,11.523,11.639,5.045,7.806,8.904,5.277,9.712,16.607,7.000,4.441,6.529
63.802,20.669,14.519,14.371,12.250,15.245,20.564,21.200,32.595,20.844,32.636,27.763,11.341,12.042,7.182,9.129,10.154,6.027,10.279,16.845,7.115,5.971,8.228
61.779,19.911,13.702,14.971,11.080,15.338,19.400,19.929,34.114,19.823,34.500,27.788,15.659,9.472,4.091,8.702,11.173,6.182,9.240,15.952,8.125,6.010,6.426
58.302,19.137,12.760,15.957,9.964,15.974,21.043,21.214,33.278,24.146,36.727,28.337,12.636,10.056,5.364,7.516,9.010,5.088,9.240,16.238,8.594,6.137,6.368
54.849,15.089,12.260,12.786,11.920,14.212,20.107,20.586,37.063,22.042,29.318,32.075,14.455,11.944,4.000,7.218,7.346,3.973,9.144,12.226,8.167,5.559,7.831
54.256,16.129,14.788,15.400,10.527,14.993,19.100,17.500,34.709,20.604,32.841,26.775,15.500,9.250,7.455,9.153,9.000,4.074,8.000,13.226,7.604,5.735,8.235
60.186,19.766,14.404,14.743,10.911,15.503,20.200,18.914,34.747,23.448,36.568,27.950,12.727,12.042,5.227,8.653,8.933,3.554,8.596,17.440,10.104,5.314,7.309
59.872,18.355,13.721,14.286,10.259,14.397,20.243,17.600,35.418,24.188,36.227,25.763,13.795,9.958,4.568,10.089,12.731,4.649,10.308,14.964,7.844,5.706,7.397
55.709,18.395,15.077,14.271,12.241,14.404,17.800,18.029,39.886,23.156,32.932,27.125,14.091,12.000,5.818,9.919,11.875,4.757,9.788,17.310,8.198,6.853,6.404
58.500,17.073,14.221,13.314,12.027,14.868,19.000,18.514,39.177,25.115,34.136,28.825,15.136,10.556,5.750,8.427,9.971,4.932,10.779,16.655,10.479,6.412,8.456
54.081,18.815,13.558,17.214,11.107,14.510,19.686,18.157,38.430,22.115,36.318,24.312,13.591,10.764,5.795,8.911,11.135,5.074,10.615,17.405,8.719,6.186,7.588
52.756,15.460,13.240,17.014,11.295,15.596,17.379,18.143,40.722,24.729,29.295,25.550,13.273,10.597,6.364,9.685,10.308,4.588,10.510,16.667,9.073,4.706,7.243
56.837,13.968,13.827,15.071,11.411,15.914,18.293,19.014,38.582,21.344,30.545,27.987,16.795,11.292,4.364,9.363,11.654,4.128,9.010,16.012,8.562,5.245,7.824
56.372,17.798,16.721,14.514,12.188,15.603,18.300,17.900,37.506,20.438,34.250,24.700,14.614,11.556,4.886,10.250,11.250,5.750,10.798,13.774,8.521,6.402,8.029
55.372,16.250,15.740,15.771,11.509,17.172,17.393,18.457,35.570,21.490,30.432,29.200,16.205,11.389,6.250,8.363,11.404,4.804,12.192,15.560,9.115,6.088,8.684
57.872,19.500,14.558,16.314,11.714,16.238,17.364,18.429,32.633,19.271,34.591,26.987,13.932,9.806,5.114,8.097,13.423,4.426,10.885,15.929,8.854,5.588,6.735
51.035,19.137,15.596,13.100,11.661,16.179,17.586,16.329,31.532,18.375,34.455,25.312,14.455,10.014,5.568,9.855,12.096,6.155,10.606,16.536,8.771,5.735,7.037
54.581,18.573,14.260,15.100,12.161,15.669,16.764,18.943,33.051,17.167,35.523,28.837,14.818,13.500,6.136,9.573,11.827,4.405,10.298,16.333,9.792,5.569,7.221
58.360,20.839,12.875,14.543,12.107,17.563,14.800,18.200,28.253,16.146,29.614,26.663,14.364,11.958,4.023,8.621,11.875,5.142,10.135,16.524,8.250,6.735,6.809
57.570,16.306,13.010,16.086,12.884,17.603,15.171,20.014,28.190,16.031,30.591,26.462,14.000,10.264,5.727,11.137,9.173,4.507,9.548,14.583,8.479,6.333,7.684
59.093,17.653,14.221,15.871,10.036,18.980,14.243,20.514,27.937,17.396,29.250,22.087,12.477,10.819,5.205,8.710,9.298,4.635,7.606,14.536,7.917,6.078,7.890
58.419,19.935,14.760,15.586,10.643,19.060,14.050,18.986,28.696,17.594,27.318,22.450,13.136,9.583,4.409,8.460,9.298,4.655,10.038,12.643,7.750,5.402,8.610
61.686,19.274,12.433,14.557,11.830,21.861,13.129,19.471,27.152,17.938,32.250,24.612,15.364,10.250,6.750,10.234,9.375,5.068,9.144,15.238,9.938,5.765,8.206
